"FECHA_CORTE","FECHA_EMISION","MES_FACTURACION","COD_EMPRESA","RAZON_SOCIAL","GRUPO","COD_SIS_ELECTR","COD_TARIFA","ATARIFA","USO","SUMINISTROS","PROMEDIO_CONSUMO"
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,50865,213
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,8644,602
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,43,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1,81
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,2,154
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0008,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,3,72
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0261,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,224
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,47,6
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,3,803
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0013,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,5,123
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0011,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,123,6
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0014,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,20
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0005,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,392,2171
"20250306","20220131","202201",EDPE,ENEL DISTRIBUCIÓN PERÚ S.A.A.,PRIVADAS,SE0016,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,5,120
